state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,257.564725790428,,285.930534716429,Ala.,AL
Alaska,261.513992611659,,290.549181652076,Alaska,AK
Arizona,269.595342494823,308.9945681292,293.048748144139,Ariz.,AZ
Arkansas,263.254877398765,,290.538597056847,Ark.,AR
California,261.564882582549,,295.616792710814,Calif.,CA
Colorado,267.769438786403,,298.605147498433,Colo.,CO
Connecticut,263.649125305581,,295.080217112023,Conn.,CT
Delaware,265.327009808594,,283.66686253676,Del.,DE
District of Columbia,254.241758374876,,303.264204592317,D.C.,DC
Florida,268.728139092497,,292.971905501415,Fla.,FL
Georgia,267.449822498986,296.408487267694,298.953882580568,Ga.,GA
Hawaii,267.958105663632,,285.119350513677,Hawaii,HI
Idaho,270.323790787974,298.589960932164,294.115424015717,Idaho,ID
Illinois,266.635290465292,,295.747479466184,Ill.,IL
Indiana,273.110985555459,,299.201114638973,Ind.,IN
Iowa,269.858039725774,,295.905488667784,Iowa,IA
Kansas,270.48140511618,,298.432240065819,Kan.,KS
Kentucky,265.33940228648,,293.018568031943,Ky.,KY
Louisiana,258.358710103821,250.901479571887,284.894078274352,La.,LA
Maine,269.484513047949,,294.210112759292,Maine,ME
Maryland,261.13081399869,,295.361495271839,Md.,MD
Massachusetts,278.142909364335,,304.564075694644,Mass.,MA
Michigan,261.191678406332,,292.428164757318,Mich.,MI
Minnesota,273.770129014848,,304.775712949833,Minn.,MN
Mississippi,263.921575382893,,289.403585969386,Miss.,MS
Missouri,267.653651495566,,291.810423209126,Mo.,MO
Montana,274.023697663352,,294.330226784019,Mont.,MT
Nation,266.885731646767,292.939010682797,296.558941606022,U.S.,US
Nebraska,272.237576726228,,300.323664306835,Neb.,NE
Nevada,263.514261743623,,292.392220450353,Nev.,NV
New Hampshire,273.2024557269,,299.871338138292,N.H.,NH
New Jersey,269.499662335852,,303.739179262876,N.J.,NJ
New Mexico,263.07421028325,,287.640180620514,N.M.,NM
New York,268.567249142121,,294.094817474911,N.Y.,NY
North Carolina,265.036788462892,299.613401348505,296.650144558727,N.C.,NC
North Dakota,269.165527794332,,296.42432986909,N.D.,ND
Ohio,266.976488264472,,303.004273236602,Ohio,OH
Oklahoma,264.886447826696,,288.211538318019,Okla.,OK
Oregon,271.431710353932,,298.657595420761,Ore.,OR
Pennsylvania,269.238984196621,,300.618251778589,Pa.,PA
Rhode Island,260.076182863238,,292.597939012888,R.I.,RI
South Carolina,262.797677810251,,290.369531270513,S.C.,SC
South Dakota,269.046590480762,,295.968720933591,S.D.,SD
Tennessee,268.008208100121,,288.070093378199,Tenn.,TN
Texas,270.909381606831,294.460908363184,297.422271811883,Texas,TX
Utah,270.128809886528,,296.236559478696,Utah,UT
Vermont,271.552908994167,,296.450077154504,Vt.,VT
Virginia,271.577904836692,,300.927518136072,Va.,VA
Washington,271.801166692132,,301.023411570083,Wash.,WA
West Virginia,268.305823006566,,288.505474011756,W.Va.,WV
Wisconsin,267.889831549067,285.233293159803,299.67160841102,Wis.,WI
Wyoming,276.279514512981,,296.348135010722,Wyo.,WY
