state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,249.815713087452,255.018179444705,,280.127026610415,Ala.,AL
Alaska,257.902392879289,282.223817790274,272.919336512105,276.918873895688,281.433151803481,295.889566059848,Alaska,AK
Arizona,253.056589212314,302.297249447946,268.985667949595,265.887519441124,,293.885239741333,Ariz.,AZ
Arkansas,,,256.748281443882,272.183577305841,,287.15377494566,Ark.,AR
California,,298.262502732496,253.630714591574,259.532476816774,,289.969211508495,Calif.,CA
Colorado,,312.78136627512,269.928048912387,270.874962182335,304.241004213606,301.917510261703,Colo.,CO
Connecticut,,307.141669217508,262.038694591374,262.481862125516,,296.792791431511,Conn.,CT
Delaware,,311.180496951425,265.605537272765,274.226153512752,,293.567281910901,Del.,DE
District of Columbia,,,256.088912684272,260.616101555669,,318.595139633182,D.C.,DC
DoDEA,,289.768608013847,274.004986007069,281.598206688277,285.767865730308,295.084079505916,,
Florida,,311.5915414923,258.478503835841,273.767654091749,283.476308329266,287.408808313357,Fla.,FL
Georgia,,302.055883885049,262.108412995519,277.222400423429,275.090466657451,290.879872276743,Ga.,GA
Hawaii,,276.725807242779,277.311110998837,262.64161820486,276.426481029011,290.036491208616,Hawaii,HI
Idaho,,,,267.282582357433,,290.888523583541,Idaho,ID
Illinois,,313.590186893999,260.46832654112,271.668972405981,280.847034664667,293.875914636885,Ill.,IL
Indiana,,,263.739750407953,274.972202493539,281.847928909159,289.809591402584,Ind.,IN
Iowa,,291.143169808545,257.730780475367,268.662668187128,,288.178185004093,Iowa,IA
Kansas,,300.25051841808,268.921200207676,274.189437672227,279.881473534287,295.113317921476,Kan.,KS
Kentucky,,,260.661539633965,268.888764856491,,284.476731518488,Ky.,KY
Louisiana,,,258.851895584948,268.90978761072,,282.504015715106,La.,LA
Maine,,,264.902469302328,,,289.761010932435,Maine,ME
Maryland,,311.21713578253,267.170442681505,272.954212875369,295.920253014557,303.214440697852,Md.,MD
Massachusetts,,320.312440988434,275.069288349352,272.875531452259,,304.287610575676,Mass.,MA
Michigan,,309.959760297848,249.87871057915,273.750960463173,,285.772512193025,Mich.,MI
Minnesota,262.908734409911,281.922268102857,266.371236459609,269.888924977477,,301.614611590699,Minn.,MN
Mississippi,,,254.684692345323,272.66767566112,,283.323452791972,Miss.,MS
Missouri,,,254.414560916682,267.23365086394,,287.563920472754,Mo.,MO
Montana,263.643475153062,,,285.094174909132,,296.684435173658,Mont.,MT
Nation,265.977580425002,302.194054576781,261.840768912436,269.45379200122,286.379745022367,292.567394799431,U.S.,US
Nebraska,,,254.545792698728,261.093144938009,280.500865405153,289.792210934862,Neb.,NE
Nevada,,287.090854228053,259.079041007728,266.27599886261,282.316083069372,292.131142983885,Nev.,NV
New Hampshire,,303.418023301224,,265.72828891781,,293.250033453426,N.H.,NH
New Jersey,,317.7987341183,271.524522541883,274.224317468112,,304.262028663252,N.J.,NJ
New Mexico,257.729182386253,,265.406020519691,269.419645488896,,289.822528350633,N.M.,NM
New York,,302.407832727393,264.294014600293,262.803366029756,,290.572275724099,N.Y.,NY
North Carolina,265.247094376004,314.193246497612,267.106130772724,275.086013002976,292.20852885032,296.105793384783,N.C.,NC
North Dakota,264.084230709814,,,,,296.166993569804,N.D.,ND
Ohio,,,262.537834809968,273.422082852359,283.926022371676,295.207482266214,Ohio,OH
Oklahoma,272.611510339999,303.95799727163,262.460436888494,264.021755272452,,286.498719686201,Okla.,OK
Oregon,260.014669495394,297.369883771624,263.452530659496,267.648044303426,282.274429380323,287.432837681632,Ore.,OR
Pennsylvania,,310.308627154015,257.077446303912,268.923220017257,,294.417392542222,Pa.,PA
Rhode Island,,286.675348215894,256.44873448675,261.265851303683,285.975030881204,291.7199569571,R.I.,RI
South Carolina,,,262.953898870206,272.588746797992,,292.686948808933,S.C.,SC
South Dakota,263.080443300521,,269.799888381299,274.007174054094,,295.445176820218,S.D.,SD
Tennessee,,,252.246663797923,265.709204878662,,280.579603447479,Tenn.,TN
Texas,,316.132071213514,276.908559796574,283.205238067556,304.566224222053,303.546072206708,Texas,TX
Utah,243.644927461191,283.870900190455,,256.805580285677,,289.474929723099,Utah,UT
Vermont,,,,,,294.548833890532,Vt.,VT
Virginia,,312.582154182295,268.133479974432,278.572863324285,289.936750804892,296.838200210083,Va.,VA
Washington,256.342210129067,302.197370342521,264.507524746414,269.019611108653,292.473040376204,293.933291782475,Wash.,WA
West Virginia,,,259.876101527512,,,273.999641566133,W.Va.,WV
Wisconsin,,289.786120897761,255.630112249721,269.673958567334,,294.874463675969,Wis.,WI
Wyoming,,,,271.261027770896,,291.283074098267,Wyo.,WY
