state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,247.244295359899,,274.174337828396,Ala.,AL
Alaska,246.234852772057,,267.925109978548,Alaska,AK
Arizona,253.761045628205,278.629506606052,271.77997027071,Ariz.,AZ
Arkansas,252.084202589676,,272.026398411606,Ark.,AR
California,251.00888038562601,254.006055149493,278.547252423719,Calif.,CA
Colorado,254.17942737938,,281.116446811308,Colo.,CO
Connecticut,254.42175427666,,281.940165402498,Conn.,CT
Delaware,252.33526317879,,267.8793147045,Del.,DE
District of Columbia,236.867670178625,,277.071537908236,D.C.,DC
Florida,257.435199056252,,278.167479837094,Fla.,FL
Georgia,255.992121970685,275.544398312078,279.738055688857,Ga.,GA
Hawaii,249.913682702381,,270.05416318403,Hawaii,HI
Idaho,260.338069915383,279.689613721939,276.068737187131,Idaho,ID
Illinois,255.150661804293,,277.110730796977,Ill.,IL
Indiana,260.881887145181,,281.379556671466,Ind.,IN
Iowa,252.647283327235,,276.750590221079,Iowa,IA
Kansas,253.887957015335,,278.291619332975,Kan.,KS
Kentucky,255.712393260874,,278.229492725802,Ky.,KY
Louisiana,249.215556457031,,273.253417115683,La.,LA
Maine,259.030162442011,,276.17982345919,Maine,ME
Maryland,249.295576404768,,279.773906160998,Md.,MD
Massachusetts,257.186795550472,,285.162598729703,Mass.,MA
Michigan,252.914179410008,,275.221121265319,Mich.,MI
Minnesota,250.702625617397,,278.300352439685,Minn.,MN
Mississippi,248.222973204839,,277.731850244205,Miss.,MS
Missouri,253.707405102476,,276.126281583416,Mo.,MO
Montana,258.286917055532,,273.6416167149,Mont.,MT
Nation,253.085353045791,266.887087825623,277.396957182779,U.S.,US
Nebraska,255.63715156327,,278.680938997485,Neb.,NE
Nevada,252.255633770286,,270.62515553788,Nev.,NV
New Hampshire,259.269056717829,,280.354700565513,N.H.,NH
New Jersey,257.609638209296,,285.205197865845,N.J.,NJ
New Mexico,250.52717544212,,269.288648047906,N.M.,NM
New York,252.629072271622,,275.331883009402,N.Y.,NY
North Carolina,250.018782963637,272.951542095475,273.595464202769,N.C.,NC
North Dakota,252.326328083708,,270.698266198092,N.D.,ND
Ohio,251.131542763363,,282.01964417167,Ohio,OH
Oklahoma,254.332374515907,,272.009971073564,Okla.,OK
Oregon,257.186809461737,,279.808845736833,Ore.,OR
Pennsylvania,257.452327257663,,280.633219880372,Pa.,PA
Rhode Island,246.966550332494,,280.406878310418,R.I.,RI
South Carolina,249.308071983422,,274.445661730537,S.C.,SC
South Dakota,255.316894494802,,274.320727356486,S.D.,SD
Tennessee,252.098749995862,,271.051955017152,Tenn.,TN
Texas,250.687667174858,266.079957804151,272.384398201691,Texas,TX
Utah,256.325179256374,,276.282326367666,Utah,UT
Vermont,259.745895218279,,280.491200314017,Vt.,VT
Virginia,251.316174127724,,276.882711219163,Va.,VA
Washington,257.693175136208,,282.391324453345,Wash.,WA
West Virginia,254.857997835289,,270.548533486501,W.Va.,WV
Wisconsin,253.513627799864,267.941865653661,277.488508963222,Wis.,WI
Wyoming,258.716869178374,,275.302351752355,Wyo.,WY
