state,eligible,not eligible,information not available,postal,ap_abbr,white,black,hispanic,asian/pacific islander,american indian/alaska native,ell,not ell,sd,not sd
Nation,253.283033539,277.45894327,279.92202071,US,U.S.,274.801875706,249.357147647,255.319337842,281.798374221,252.586315812,226.03170967,269.146849322,232.335190578,271.317099112
Alabama,247.244295202,274.174337942,,AL,Ala.,,,,,,,258.66671701,215.809514275,262.282616526
Alaska,246.234852844,267.925110049,,AK,Alaska,,,,,,215.171775887,263.071696095,222.469251561,262.810486777
Arizona,253.761045582,271.779970438,278.629506468,AZ,Ariz.,273.965461771,253.996618808,253.700422428,277.038011475,254.041379611,211.117824315,264.973570931,232.546551999,266.229444719
Arkansas,252.084202682,272.026398367,,AR,Ark.,266.022428949,241.119789523,254.96959891,,,244.881818919,261.317620703,218.421803619,265.764572956
California,251.008880385,278.547252372,254.006054907,CA,Calif.,278.11178191,249.955878495,251.243016695,280.978923613,,220.786478078,268.999836786,220.758910448,267.369392683
Colorado,254.179427357,281.116446758,,CO,Colo.,278.743003694,250.437032153,256.969571463,281.54837865,,232.078829311,274.394885991,234.128473898,274.593606042
Connecticut,254.421754255,281.940165358,,CT,Conn.,282.836132919,249.474527127,252.890380625,288.386025429,,214.922334243,275.112359169,244.560565917,277.324268164
Delaware,252.335263176,267.87931467,,DE,Del.,273.053860238,248.364988661,253.660702074,289.236604832,,217.272284955,264.531293048,227.58866774,269.761531998
Florida,257.435199126,278.167479883,,FL,Fla.,274.469724046,253.515152668,262.418021403,288.888547009,,228.446587923,269.327080725,244.185840876,270.090566856
Georgia,255.992121945,279.738055739,275.544398459,GA,Ga.,276.129888393,254.558463848,259.707708402,290.662378647,,221.564468418,267.692486228,233.444075541,270.331981856
Hawaii,249.913682678,270.054162996,,HI,Hawaii,270.925942108,,264.638479198,257.766545292,,213.531899234,263.719561171,211.344574226,266.293052132
Idaho,260.33806995,276.068737128,279.689613785,ID,Idaho,273.420458579,,254.668464248,,,226.478981705,271.208127696,230.764020403,273.397878741
Illinois,255.150661795,277.110730721,,IL,Ill.,274.84521676,245.640233181,258.361826959,292.266742165,,223.184012623,269.140475501,230.346023039,272.502511401
Indiana,260.881887181,281.379556653,,IN,Ind.,275.12473359,255.114815468,265.436781623,278.916816804,,252.343131998,272.987056471,240.139895462,276.962449369
Iowa,252.64728333,276.750590272,,IA,Iowa,270.4245328,242.514978427,258.305303836,268.368223018,,220.430155503,269.454511987,224.76983224,273.552917694
Kansas,253.887957016,278.291619329,,KS,Kan.,272.949826021,245.739546023,257.193540971,283.114684373,,249.608689569,269.746708175,221.462771948,273.455058215
Kentucky,255.712393249,278.229492927,,KY,Ky.,267.563467503,246.352208803,261.346404424,287.663884366,,,265.728328298,230.24783503,269.628933303
Louisiana,249.215556482,273.253417159,,LA,La.,269.481859514,242.270719317,253.354544925,,,,257.264610413,229.979305541,262.180448683
Maine,259.030162443,276.179823535,,ME,Maine,269.742601704,235.178610598,,,,,270.025269,237.528900258,275.796017372
Maryland,249.295576509,279.773906041,,MD,Md.,280.37449915,251.016100133,254.746194258,293.026310308,,219.059007928,269.485052375,233.55438085,271.66027996
Massachusetts,257.186795686,285.162598774,,MA,Mass.,282.851731023,258.010029134,258.628314104,291.659804568,,228.46309292,281.051502379,248.828604586,284.115455002
Michigan,252.9141793,275.221121291,,MI,Mich.,269.530487077,245.350658071,259.057815318,279.574852144,,235.233776106,267.408069974,231.428571742,269.810721762
Minnesota,250.702625666,278.300352246,,MN,Minn.,274.628841964,244.899774586,252.235399565,265.175567899,,220.354746898,271.803228202,229.44119153,273.962385058
Mississippi,248.22297318,277.731850293,,MS,Miss.,271.298370433,241.959305984,252.90678335,,,,256.779120509,218.576353323,260.384482314
Missouri,253.707405171,276.126281627,,MO,Mo.,270.128699199,249.657370839,257.435445392,,,,266.838700833,230.330981867,271.051917237
Montana,258.286917065,273.641616691,,MT,Mont.,270.451356048,,259.395832437,,246.486414414,,268.051916895,229.672424364,272.371636183
Nebraska,255.637151484,278.680938902,,NE,Neb.,275.316071336,245.092643334,254.115738777,,,,269.958554503,233.438502612,274.195505607
Nevada,252.255633693,270.625155541,,NV,Nev.,269.783745211,246.010219459,253.296441327,270.866289289,,226.621902866,265.281866173,220.856213188,264.191128483
New Hampshire,259.269056808,280.35470054,,NH,N.H.,275.995550598,,261.056866715,277.147888802,,,275.913563627,244.395067473,280.595732103
New Jersey,257.609638165,285.205197809,,NJ,N.J.,285.009478485,256.956763412,258.760783819,297.954405572,,,276.441737951,245.58612798,280.916380498
New Mexico,250.527175394,269.288648006,,NM,N.M.,271.416249582,,251.263093841,,241.791635004,216.346535696,260.774169753,222.826287498,261.022063845
New York,252.62907226,275.331882977,,NY,N.Y.,271.683442112,251.268991689,252.806517937,275.977648432,,211.801830924,267.487187539,236.029403773,269.862145358
North Carolina,250.018782971,273.59546425,272.951542371,NC,N.C.,271.979102356,247.879936606,254.985539679,281.11860968,,216.772640726,264.157463164,223.974359595,268.62611707
North Dakota,252.326328089,270.698266187,,ND,N.D.,268.635112284,251.759609112,259.312056077,,246.197524715,,266.201863478,228.268624593,270.6143988
Ohio,251.131542779,282.019644319,,OH,Ohio,274.378098908,243.994853303,259.608889647,279.480655399,,233.797508553,269.289763587,233.536605886,274.205646188
Oklahoma,254.332374623,272.009971153,,OK,Okla.,265.63827253,246.568028496,254.831477336,,257.527736822,226.0223492,262.87216226,228.227204495,267.298021608
Oregon,257.18680943,279.808845611,,OR,Ore.,272.653606432,,249.950010773,271.962448559,,208.744304482,269.180531903,228.94555135,271.774338953
Pennsylvania,257.452327245,280.6332199,,PA,Pa.,275.981335032,249.571674071,244.802668858,288.247738571,,214.804993625,271.129077009,234.939131455,275.895536994
Rhode Island,246.966550272,280.406878317,,RI,R.I.,275.480457646,247.918261046,247.1647321,268.819224595,,208.211208398,268.801383466,229.735245929,272.360726814
South Carolina,249.308071963,274.445661877,,SC,S.C.,271.717424094,240.898981895,255.984934254,,,248.508912473,260.570879796,212.029375313,266.336930901
South Dakota,255.316894375,274.320727304,,SD,S.D.,271.436674033,,255.136457078,,245.741255679,,268.406983184,229.412777991,272.28301618
Tennessee,252.098749987,271.051955164,,TN,Tenn.,269.012961904,242.986328401,250.919280541,,,213.881738759,263.334077532,223.185521641,267.34184724
Texas,250.687667137,272.384398254,266.079957609,TX,Texas,270.811325773,247.193382396,254.398306063,286.977401294,,232.779637168,263.819620182,228.140945383,264.64003905
Utah,256.325179236,276.282326579,,UT,Utah,273.61009278,,251.510941655,265.936928212,,223.702348339,270.959803584,224.869075686,273.816494998
