year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,139.853584029,167.114564727,166.279047435,US,U.S.
2015,Alabama,128.713236949,156.797853232,,AL,Ala.
2015,Alaska,,,,AK,Alaska
2015,Arizona,137.185013916,160.761101784,163.631330973,AZ,Ariz.
2015,Arkansas,138.946979998,162.868977314,,AR,Ark.
2015,California,129.397611873,163.188837696,151.88940623,CA,Calif.
2015,Colorado,,,,CO,Colo.
2015,Connecticut,136.586722265,164.983731445,,CT,Conn.
2015,Delaware,136.136002164,158.27089071,,DE,Del.
2015,District of Columbia,,,,DC,D.C.
2015,DoDEA,,,165.809820209,,
2015,Florida,143.56945769,166.921686471,,FL,Fla.
2015,Georgia,143.115151261,169.148121486,149.558597459,GA,Ga.
2015,Hawaii,134.323783029,153.660940928,,HI,Hawaii
2015,Idaho,151.903968872,167.416093483,,ID,Idaho
2015,Illinois,137.398481682,163.967449083,,IL,Ill.
2015,Indiana,143.940188611,168.284516895,,IN,Ind.
2015,Iowa,146.177523126,165.929416384,,IA,Iowa
2015,Kansas,143.728588478,165.670895618,,KS,Kan.
2015,Kentucky,148.744221331,167.846183327,,KY,Ky.
2015,Louisiana,,,,LA,La.
2015,Maine,151.205508938,165.9160282,,ME,Maine
2015,Maryland,137.074350449,166.977783547,,MD,Md.
2015,Massachusetts,144.605131511,174.520075416,,MA,Mass.
2015,Michigan,141.059291923,165.788508775,,MI,Mich.
2015,Minnesota,141.809064459,172.560409446,,MN,Minn.
2015,Mississippi,131.103034051,161.388331961,,MS,Miss.
2015,Missouri,145.463005014,170.495332312,,MO,Mo.
2015,Montana,150.302176128,169.245182463,,MT,Mont.
2015,Nebraska,148.519659727,169.332803812,,NE,Neb.
2015,Nevada,138.317903165,160.06180459,,NV,Nev.
2015,New Hampshire,151.010706995,169.412111006,,NH,N.H.
2015,New Jersey,139.087745734,163.749441185,,NJ,N.J.
2015,New Mexico,137.196540125,157.892456145,,NM,N.M.
2015,New York,138.998914287,162.798324591,,NY,N.Y.
2015,North Carolina,139.156010697,166.559290154,,NC,N.C.
2015,North Dakota,148.216961299,167.577329354,,ND,N.D.
2015,Ohio,142.885323827,170.255987243,,OH,Ohio
2015,Oklahoma,143.62377586,160.767601875,,OK,Okla.
2015,Oregon,147.407681704,167.678249031,,OR,Ore.
2015,Pennsylvania,,,,PA,Pa.
2015,Rhode Island,134.220563106,163.9247795,,RI,R.I.
2015,South Carolina,139.287049518,166.747209016,,SC,S.C.
2015,South Dakota,148.707332159,167.539731104,,SD,S.D.
2015,Tennessee,145.63947526,168.544802439,,TN,Tenn.
2015,Texas,145.323795312,169.668829398,,TX,Texas
2015,Utah,152.368823322,173.748985474,,UT,Utah
2015,Vermont,152.392254693,170.634521045,,VT,Vt.
2015,Virginia,142.473097744,169.582116606,,VA,Va.
2015,Washington,143.396708297,170.33346992,,WA,Wash.
2015,West Virginia,143.771625193,159.914933514,,WV,W.Va.
2015,Wisconsin,141.613824434,168.251039737,164.163073935,WI,Wis.
2015,Wyoming,150.889451957,165.91761737,,WY,Wyo.
