state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,241.158306514355,243.224533365062,,268.110400045081,247.244295359899,,274.174337828396,Ala.,AL
Alaska,233.823811932908,254.403622127636,245.627594722686,262.132680582941,260.092160462093,269.728018919684,246.234852772057,,267.925109978548,Alaska,AK
Arizona,254.041379315884,277.038011251778,253.996618946073,253.700422417238,,273.965461726974,253.761045628205,278.629506606052,271.77997027071,Ariz.,AZ
Arkansas,,,241.119789423643,254.969598901886,,266.02242890736,252.084202589676,,272.026398411606,Ark.,AR
California,,280.97892363966,249.955878506057,251.243016769042,279.611466481017,278.111781779926,251.00888038562601,254.006055149493,278.547252423719,Calif.,CA
Colorado,,281.548378744711,250.437032249263,256.969571467343,278.966986269452,278.743003720455,254.17942737938,,281.116446811308,Colo.,CO
Connecticut,,288.3860253699,249.474527134844,252.890380690297,280.981543091037,282.836132944953,254.42175427666,,281.940165402498,Conn.,CT
Delaware,,289.236605040057,248.364988573526,253.660702073182,,273.053860278072,252.33526317879,,267.8793147045,Del.,DE
District of Columbia,,,239.610398854447,241.500302614293,,299.919091722194,236.867670178625,,277.071537908236,D.C.,DC
DoDEA,,283.070776609825,267.740764130369,277.412771581385,285.378909192547,283.99641751036,,,,,
Florida,,288.888547094226,253.515152613606,262.41802128471,272.991656512079,274.469724027859,257.435199056252,,278.167479837094,Fla.,FL
Georgia,,290.662379370527,254.55846386041,259.707708273552,269.878476070046,276.129888339942,255.992121970685,275.544398312078,279.738055688857,Ga.,GA
Hawaii,,257.766545340552,,264.63847953803,271.548180716991,270.925942201044,249.913682702381,,270.05416318403,Hawaii,HI
Idaho,,,,254.668464326104,,273.420458591853,260.338069915383,279.689613721939,276.068737187131,Idaho,ID
Illinois,,292.266742037206,245.640232999341,258.361826981483,279.068184070525,274.845216894424,255.150661804293,,277.110730796977,Ill.,IL
Indiana,,278.916816934329,255.114815465515,265.436781489826,266.404305949648,275.124733601402,260.881887145181,,281.379556671466,Ind.,IN
Iowa,,268.368223437328,242.514978316414,258.305303650419,271.823349153244,270.424532786445,252.647283327235,,276.750590221079,Iowa,IA
Kansas,,283.114684031424,245.739545809933,257.193540967423,260.241238982598,272.94982606998,253.887957015335,,278.291619332975,Kan.,KS
Kentucky,,287.663884740442,246.352208883218,261.346404014637,262.161563089833,267.563467433154,255.712393260874,,278.229492725802,Ky.,KY
Louisiana,,,242.270719309462,253.354544940023,,269.481859464415,249.215556457031,,273.253417115683,La.,LA
Maine,,,235.178610810302,,,269.742601646432,259.030162442011,,276.17982345919,Maine,ME
Maryland,,293.026310470275,251.016100247698,254.746194129974,273.974963425605,280.374499157159,249.295576404768,,279.773906160998,Md.,MD
Massachusetts,,291.659804427708,258.010029063115,258.628314226683,290.988159627278,282.851730943925,257.186795550472,,285.162598729703,Mass.,MA
