state,ell,not ell,postal,ap_abbr
Nation,226.03170967,269.146849322,US,U.S.
Alabama,,258.66671701,AL,Ala.
Alaska,215.171775887,263.071696095,AK,Alaska
Arizona,211.117824315,264.973570931,AZ,Ariz.
Arkansas,244.881818919,261.317620703,AR,Ark.
California,220.786478078,268.999836786,CA,Calif.
Colorado,232.078829311,274.394885991,CO,Colo.
Connecticut,214.922334243,275.112359169,CT,Conn.
Delaware,217.272284955,264.531293048,DE,Del.
Florida,228.446587923,269.327080725,FL,Fla.
Georgia,221.564468418,267.692486228,GA,Ga.
Hawaii,213.531899234,263.719561171,HI,Hawaii
Idaho,226.478981705,271.208127696,ID,Idaho
Illinois,223.184012623,269.140475501,IL,Ill.
Indiana,252.343131998,272.987056471,IN,Ind.
Iowa,220.430155503,269.454511987,IA,Iowa
Kansas,249.608689569,269.746708175,KS,Kan.
Kentucky,,265.728328298,KY,Ky.
Louisiana,,257.264610413,LA,La.
Maine,,270.025269,ME,Maine
Maryland,219.059007928,269.485052375,MD,Md.
Massachusetts,228.46309292,281.051502379,MA,Mass.
Michigan,235.233776106,267.408069974,MI,Mich.
Minnesota,220.354746898,271.803228202,MN,Minn.
Mississippi,,256.779120509,MS,Miss.
Missouri,,266.838700833,MO,Mo.
Montana,,268.051916895,MT,Mont.
Nebraska,,269.958554503,NE,Neb.
Nevada,226.621902866,265.281866173,NV,Nev.
New Hampshire,,275.913563627,NH,N.H.
New Jersey,,276.441737951,NJ,N.J.
New Mexico,216.346535696,260.774169753,NM,N.M.
New York,211.801830924,267.487187539,NY,N.Y.
North Carolina,216.772640726,264.157463164,NC,N.C.
North Dakota,,266.201863478,ND,N.D.
Ohio,233.797508553,269.289763587,OH,Ohio
Oklahoma,226.0223492,262.87216226,OK,Okla.
Oregon,208.744304482,269.180531903,OR,Ore.
Pennsylvania,214.804993625,271.129077009,PA,Pa.
Rhode Island,208.211208398,268.801383466,RI,R.I.
South Carolina,248.508912473,260.570879796,SC,S.C.
South Dakota,,268.406983184,SD,S.D.
Tennessee,213.881738759,263.334077532,TN,Tenn.
Texas,232.779637168,263.819620182,TX,Texas
Utah,223.702348339,270.959803584,UT,Utah
Vermont,,273.904070264,VT,Vt.
Virginia,225.888519248,269.834347301,VA,Va.
Washington,227.532915119,274.14091988,WA,Wash.
West Virginia,,258.873780864,WV,W.Va.
Wisconsin,233.289354592,271.079556679,WI,Wis.
Wyoming,,269.642783937,WY,Wyo.
District of Columbia,207.080561694,249.297874462,DC,D.C.
