state,eligible,information not available,not eligible,postal,ap_abbr
Alabama,255.986914456805,,283.87058553084,Ala.,AL
Alaska,268.575147228528,,294.07955570465,Alaska,AK
Arizona,267.433735083374,283.526687385332,291.616499123009,Ariz.,AZ
Arkansas,269.262649313391,,291.953956325225,Ark.,AR
California,259.910883057603,268.64691187458,288.499141498858,Calif.,CA
Colorado,272.765341360493,,303.068823210997,Colo.,CO
Connecticut,264.349177903633,,298.049598030578,Conn.,CT
Delaware,269.657389106129,,292.698825317756,Del.,DE
District of Columbia,253.249741202826,,278.26571537924,D.C.,DC
Florida,266.932436730125,,291.232751267741,Fla.,FL
Georgia,267.285908063747,,293.134935107709,Ga.,GA
Hawaii,267.949202112651,,286.118232295888,Hawaii,HI
Idaho,275.594867032044,,295.421980019652,Idaho,ID
Illinois,269.268678850432,,296.0302073847,Ill.,IL
Indiana,273.253436708403,,294.207632673925,Ind.,IN
Iowa,270.617891266721,,293.499708837349,Iowa,IA
Kansas,276.458505913845,,299.991823247729,Kan.,KS
Kentucky,270.501386413187,,293.74120727526,Ky.,KY
Louisiana,264.569589934639,,286.322641618046,La.,LA
Maine,276.317880437143,,297.577664474617,Maine,ME
Maryland,266.436462354915,,298.849061390605,Md.,MD
Massachusetts,280.023870924644,,307.612399249649,Mass.,MA
Michigan,265.587853142633,,290.742467968498,Mich.,MI
Minnesota,276.238401325097,,303.576575531644,Minn.,MN
Mississippi,260.31443057248,,288.075636263573,Miss.,MS
Missouri,268.649405437937,,291.816488221639,Mo.,MO
Montana,279.999009323242,,300.757683262762,Mont.,MT
Nation,269.00585082592,274.658539302649,295.403462866343,U.S.,US
Nebraska,268.67182378353,,292.554027983324,Neb.,NE
Nevada,267.296804846044,,287.821730639174,Nev.,NV
New Hampshire,276.102828088904,,296.940048004781,N.H.,NH
New Jersey,273.85246982641,,302.910862727135,N.J.,NJ
New Mexico,266.677241337766,,288.132044653436,N.M.,NM
New York,268.974474474235,,292.547313199975,N.Y.,NY
North Carolina,273.463290772327,,299.526417690456,N.C.,NC
North Dakota,277.815859120286,,298.492390310431,N.D.,ND
Ohio,274.340628489424,,299.223462970188,Ohio,OH
Oklahoma,269.839211403418,,289.463675034765,Okla.,OK
Oregon,270.919185649168,,294.609669060773,Ore.,OR
Pennsylvania,267.99414883577,,298.259250690809,Pa.,PA
Rhode Island,266.596011428553,,294.729491694935,R.I.,RI
South Carolina,268.309894928376,,294.564992526764,S.C.,SC
South Dakota,276.776723289131,,298.259907051999,S.D.,SD
Tennessee,262.161755774835,,287.264920253091,Tenn.,TN
Texas,280.720690427378,,304.165081529174,Texas,TX
Utah,269.092457257013,,291.094630675237,Utah,UT
Vermont,277.409915837107,,302.377584772205,Vt.,VT
Virginia,270.182623672701,,298.306924968238,Va.,VA
Washington,272.734142229196,,298.529060269647,Wash.,WA
West Virginia,263.733794259094,,281.55632824877,W.Va.,WV
Wisconsin,269.150952464508,,298.795497188531,Wis.,WI
Wyoming,277.197423250562,,293.468431243184,Wyo.,WY
