state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,postal,ap_abbr
Alabama,,,215.083768425771,227.20318649112,,239.973447728463,Ala.,AL
Alaska,212.750893761907,233.503958601705,225.117348890351,238.9934433689,240.187130883837,247.780134437832,Alaska,AK
Arizona,215.888251363725,249.076820106261,224.268778570563,226.603958923565,,246.355062058106,Ariz.,AZ
Arkansas,,246.69961324365,219.27391249955,232.518925765564,,244.352269289141,Ark.,AR
California,,255.698746325867,225.209919190871,221.700624041236,251.658089625569,251.639394538973,Calif.,CA
Colorado,,245.730349096128,225.188840273776,229.910714869759,250.125603757908,254.113292258843,Colo.,CO
Connecticut,,254.60429769814,220.48665715811,222.448716057347,241.385554439678,253.290906438462,Conn.,CT
Delaware,,262.383563944356,227.049658634288,230.995095040617,249.246064296156,249.774438148144,Del.,DE
District of Columbia,,,214.850748175644,223.098403782728,,272.036447730767,D.C.,DC
DoDEA,,244.036949515124,227.946783496165,235.585244701087,243.460598567445,246.10750311701,,
Florida,,257.41172835491,226.385286167107,235.772437600124,242.119931055765,249.686347670199,Fla.,FL
Georgia,,262.519624998642,224.072033311782,233.208654849361,240.771799969382,248.810820376487,Ga.,GA
Hawaii,,236.999692535502,232.895965174287,236.596556665079,241.085466389518,248.302607293946,Hawaii,HI
Idaho,,247.134149569598,,223.181555939278,,244.222586621362,Idaho,ID
Illinois,,256.797843616695,219.342085726025,226.490580168139,244.365972061711,248.708599370158,Ill.,IL
Indiana,,,222.873329580336,234.346960972587,237.767152409464,248.509032637998,Ind.,IN
Iowa,,248.462169569445,224.200269430453,228.850152849106,240.279244659765,245.543188172674,Iowa,IA
Kansas,,252.81586599593,227.025159797364,234.700668160969,243.488702052207,251.092107626275,Kan.,KS
Kentucky,,261.350577832501,225.248910775394,235.906424654102,237.351157709819,242.525688290563,Ky.,KY
Louisiana,,,219.319469238364,230.078356096458,,241.423837566019,La.,LA
Maine,,246.03214823614,211.556586023206,,,245.774845908154,Maine,ME
Maryland,,267.080684735375,229.780544566062,244.733482902273,256.176699856603,257.839818422414,Md.,MD
Massachusetts,,266.955010853622,234.58693413859,235.984346715682,256.627683273064,258.212726935915,Mass.,MA
Michigan,,262.64657474044,211.200618021956,227.883052292726,234.130902345794,241.895890476777,Mich.,MI
Minnesota,232.875704299411,252.557357720528,224.510764853805,230.470252632725,237.334644817291,255.088794488793,Minn.,MN
Mississippi,,,217.357734806662,229.334633749351,,240.695395106477,Miss.,MS
Missouri,,252.107983383336,216.356453968832,231.205241499572,,246.117815210085,Mo.,MO
Montana,219.949400114013,,,236.915831808092,,247.416961003651,Mont.,MT
Nation,226.616190110637,255.798014391157,223.795842345931,228.874095750946,243.681975546156,248.696761714977,U.S.,US
Nebraska,,241.268767934797,212.943613313543,225.979950798566,235.085458464302,246.544928305963,Neb.,NE
Nevada,,251.887274187754,225.630856259802,228.614039209986,238.565312051134,246.817626868809,Nev.,NV
New Hampshire,,263.545952249112,235.006892574273,234.682583656986,,252.472443550578,N.H.,NH
New Jersey,,265.431814250024,230.876848482119,233.941343637958,,255.91796450561,N.J.,NJ
New Mexico,218.803176341805,253.836795232974,226.099500119932,228.216333790935,,246.64363687207,N.M.,NM
New York,,252.456099509696,223.563773279273,226.010099652187,,245.344004796106,N.Y.,NY
North Carolina,224.604615587059,263.303492502396,228.595112284991,238.26708708943,247.270890376059,253.080905585448,N.C.,NC
North Dakota,220.849625580487,,,232.784275170391,,248.802328577103,N.D.,ND
Ohio,,253.906155435912,225.729062317026,232.512021284702,239.760491562803,249.086615283821,Ohio,OH
Oklahoma,233.760970476518,251.567153494851,223.95338171904,227.406533505144,,242.876610791894,Okla.,OK
Oregon,220.404292329425,249.05490882906,214.723219017058,219.787122723146,242.393864686554,242.669238300884,Ore.,OR
Pennsylvania,,263.871992306464,223.891510126265,225.598757358501,234.445336097914,251.42732425452,Pa.,PA
Rhode Island,,250.946254573117,225.472243371279,224.228146860751,238.205347512464,249.336338248283,R.I.,RI
South Carolina,,,220.418289466032,233.767236314459,236.298387910178,248.45106049536,S.C.,SC
South Dakota,219.93926509975,,226.544282924853,226.245301390864,,245.632038414747,S.D.,SD
Tennessee,,248.5304208194,215.949493280791,227.884884469589,,238.678338505278,Tenn.,TN
Texas,,263.270167875679,231.823869254905,235.013416277285,249.250089201701,253.33473730312,Texas,TX
Utah,214.137595505578,236.010689721355,,222.839765054809,,247.179342058689,Utah,UT
Vermont,,,,,245.089302787351,247.554119053401,Vt.,VT
Virginia,,262.396411651981,228.672378556182,236.720850028135,249.023193573323,251.166009480549,Va.,VA
Washington,222.869812420835,256.064488113016,227.079864538399,226.071457263585,249.075770791327,249.256610441644,Wash.,WA
West Virginia,,,227.284955296815,,,235.072342448213,W.Va.,WV
Wisconsin,230.575004314534,241.967223709158,217.01900561188,227.885744678382,,250.781044062477,Wis.,WI
Wyoming,223.134138835233,,,235.442298440426,,246.347985879085,Wyo.,WY
