state,sd,not sd,postal,ap_abbr
Nation,232.335190578,271.317099112,US,U.S.
Alabama,215.809514275,262.282616526,AL,Ala.
Alaska,222.469251561,262.810486777,AK,Alaska
Arizona,232.546551999,266.229444719,AZ,Ariz.
Arkansas,218.421803619,265.764572956,AR,Ark.
California,220.758910448,267.369392683,CA,Calif.
Colorado,234.128473898,274.593606042,CO,Colo.
Connecticut,244.560565917,277.324268164,CT,Conn.
Delaware,227.58866774,269.761531998,DE,Del.
Florida,244.185840876,270.090566856,FL,Fla.
Georgia,233.444075541,270.331981856,GA,Ga.
Hawaii,211.344574226,266.293052132,HI,Hawaii
Idaho,230.764020403,273.397878741,ID,Idaho
Illinois,230.346023039,272.502511401,IL,Ill.
Indiana,240.139895462,276.962449369,IN,Ind.
Iowa,224.76983224,273.552917694,IA,Iowa
Kansas,221.462771948,273.455058215,KS,Kan.
Kentucky,230.24783503,269.628933303,KY,Ky.
Louisiana,229.979305541,262.180448683,LA,La.
Maine,237.528900258,275.796017372,ME,Maine
Maryland,233.55438085,271.66027996,MD,Md.
Massachusetts,248.828604586,284.115455002,MA,Mass.
Michigan,231.428571742,269.810721762,MI,Mich.
Minnesota,229.44119153,273.962385058,MN,Minn.
Mississippi,218.576353323,260.384482314,MS,Miss.
Missouri,230.330981867,271.051917237,MO,Mo.
Montana,229.672424364,272.371636183,MT,Mont.
Nebraska,233.438502612,274.195505607,NE,Neb.
Nevada,220.856213188,264.191128483,NV,Nev.
New Hampshire,244.395067473,280.595732103,NH,N.H.
New Jersey,245.58612798,280.916380498,NJ,N.J.
New Mexico,222.826287498,261.022063845,NM,N.M.
New York,236.029403773,269.862145358,NY,N.Y.
North Carolina,223.974359595,268.62611707,NC,N.C.
North Dakota,228.268624593,270.6143988,ND,N.D.
Ohio,233.536605886,274.205646188,OH,Ohio
Oklahoma,228.227204495,267.298021608,OK,Okla.
Oregon,228.94555135,271.774338953,OR,Ore.
Pennsylvania,234.939131455,275.895536994,PA,Pa.
Rhode Island,229.735245929,272.360726814,RI,R.I.
South Carolina,212.029375313,266.336930901,SC,S.C.
South Dakota,229.412777991,272.28301618,SD,S.D.
Tennessee,223.185521641,267.34184724,TN,Tenn.
Texas,228.140945383,264.64003905,TX,Texas
Utah,224.869075686,273.816494998,UT,Utah
Vermont,235.755097517,281.996766365,VT,Vt.
Virginia,233.161606637,272.37433443,VA,Va.
Washington,235.748084277,276.61117536,WA,Wash.
West Virginia,216.158375456,265.33443558,WV,W.Va.
Wisconsin,230.646232586,274.703252193,WI,Wis.
Wyoming,230.856787399,274.6509099,WY,Wyo.
District of Columbia,214.07272988,253.549998802,DC,D.C.
