state,sd,not sd,postal,ap_abbr
Nation,247.131927305,287.890580039,US,U.S.
Alabama,229.222960864,272.539307942,AL,Ala.
Alaska,238.226477968,282.524327771,AK,Alaska
Arizona,240.771977799,286.658811456,AZ,Ariz.
Arkansas,236.416125805,278.849787936,AR,Ark.
California,235.03893268,281.646676813,CA,Calif.
Colorado,246.390719081,290.873756065,CO,Colo.
Connecticut,251.754882557,289.736272215,CT,Conn.
Delaware,242.221888811,284.563589228,DE,Del.
Florida,256.58508848,282.592678007,FL,Fla.
Georgia,251.37575944,284.946747341,GA,Ga.
Hawaii,236.203004059,281.738517448,HI,Hawaii
Idaho,237.187624284,289.350924601,ID,Idaho
Illinois,241.588741137,287.756436854,IL,Ill.
Indiana,258.678774524,292.24096046,IN,Ind.
Iowa,242.290480462,292.404152579,IA,Iowa
Kansas,246.965572109,290.457022773,KS,Kan.
Kentucky,243.004702488,282.435503305,KY,Ky.
Louisiana,240.427412607,271.682602229,LA,La.
Maine,244.878594961,292.819727023,ME,Maine
Maryland,242.825960656,286.200268805,MD,Md.
Massachusetts,263.411182164,304.32667265,MA,Mass.
Michigan,241.020905969,284.504892874,MI,Mich.
Minnesota,255.925928634,299.01331263,MN,Minn.
Mississippi,236.928879594,274.532068217,MS,Miss.
Missouri,243.825616184,285.860815176,MO,Mo.
Montana,242.771877378,291.577879861,MT,Mont.
Nebraska,247.491907406,295.202708528,NE,Neb.
Nevada,239.177470648,279.179740825,NV,Nev.
New Hampshire,260.854228188,299.445398374,NH,N.H.
New Jersey,252.515844822,299.505334551,NJ,N.J.
New Mexico,232.301397401,275.534342551,NM,N.M.
New York,248.261632278,288.535483755,NY,N.Y.
North Carolina,240.92442348,288.07694182,NC,N.C.
North Dakota,253.389550816,293.406221205,ND,N.D.
Ohio,249.949859593,293.939506653,OH,Ohio
Oklahoma,239.504296734,281.192411202,OK,Okla.
Oregon,247.160938276,287.548008508,OR,Ore.
Pennsylvania,249.609884497,292.931613924,PA,Pa.
Rhode Island,242.558822693,283.261033187,RI,R.I.
South Carolina,237.303781156,280.050662977,SC,S.C.
South Dakota,242.191187868,292.154269771,SD,S.D.
Tennessee,242.237371041,284.038479686,TN,Tenn.
Texas,250.464502915,286.658913344,TX,Texas
Utah,242.831028092,291.967271512,UT,Utah
Vermont,250.772821046,296.410602952,VT,Vt.
Virginia,254.530222289,294.83767301,VA,Va.
Washington,249.21431696,294.903970219,WA,Wash.
West Virginia,233.906900051,279.422466857,WV,W.Va.
Wisconsin,250.656622494,293.203094934,WI,Wis.
Wyoming,254.388507547,293.895816163,WY,Wyo.
District of Columbia,229.853274019,273.207059716,DC,D.C.
