state,eligible,not eligible,information not available,postal,ap_abbr
Nation,228.005048586,252.418508608,246.908998659,US,U.S.
Alabama,224.776022103,247.248782805,,AL,Ala.
Alaska,218.728109148,242.082479794,,AK,Alaska
Arizona,224.214263739,250.672344469,250.449673116,AZ,Ariz.
Arkansas,226.62541475,247.625031031,,AR,Ark.
California,221.479751228,250.458031427,232.909611793,CA,Calif.
Colorado,226.333067083,252.125764404,244.727267162,CO,Colo.
Connecticut,224.420695023,249.455274754,,CT,Conn.
Delaware,224.788192834,245.485281195,,DE,Del.
Florida,239.041845002,257.334990539,,FL,Fla.
Georgia,225.77164394,255.310178224,,GA,Ga.
Hawaii,228.351997421,246.708866419,,HI,Hawaii
Idaho,231.189489023,249.473797631,242.538825851,ID,Idaho
Illinois,223.720750886,253.098006864,,IL,Ill.
Indiana,235.451543882,257.832438106,,IN,Ind.
Iowa,229.730477632,253.879085834,,IA,Iowa
Kansas,230.735667818,251.588905749,,KS,Kan.
Kentucky,230.399336706,251.616137884,,KY,Ky.
Louisiana,222.982519432,245.474741579,222.469075308,LA,La.
Maine,228.199888538,249.84330416,,ME,Maine
Maryland,224.905953011,255.090970623,218.749641928,MD,Md.
Massachusetts,232.495756299,256.90499713,,MA,Mass.
Michigan,221.808765401,248.744022828,,MI,Mich.
Minnesota,230.598383369,260.030030396,,MN,Minn.
Mississippi,229.293010583,254.383833442,,MS,Miss.
Missouri,228.104814832,252.396202664,,MO,Mo.
Montana,232.291289363,249.563405114,,MT,Mont.
Nebraska,234.12601751,256.066266142,,NE,Neb.
Nevada,224.589648351,247.179518442,,NV,Nev.
New Hampshire,230.723727217,251.715159564,,NH,N.H.
New Jersey,231.156532673,257.778493381,,NJ,N.J.
New Mexico,224.109693654,248.118425885,,NM,N.M.
New York,226.04147971,246.186075506,,NY,N.Y.
North Carolina,231.57243973,251.662148922,239.467872381,NC,N.C.
North Dakota,232.6036746,250.38822513,,ND,N.D.
Ohio,228.232548042,254.317162349,,OH,Ohio
Oklahoma,231.48644502,249.07778999,,OK,Okla.
Oregon,223.652578061,249.545837096,,OR,Ore.
Pennsylvania,227.792152748,256.092083909,,PA,Pa.
Rhode Island,225.346367422,250.057986183,,RI,R.I.
South Carolina,226.270438997,248.266290161,224.093508783,SC,S.C.
South Dakota,229.573385608,250.328523284,,SD,S.D.
Tennessee,227.105411538,246.749931295,,TN,Tenn.
Texas,232.380799399,254.513633064,,TX,Texas
Utah,230.308763544,250.195418554,,UT,Utah
Vermont,228.530301633,249.379791189,,VT,Vt.
Virginia,233.510378177,257.434929207,,VA,Va.
Washington,228.388158436,252.287600435,,WA,Wash.
West Virginia,233.837592124,249.391806795,,WV,W.Va.
Wisconsin,225.372608578,250.810014236,248.310867076,WI,Wis.
Wyoming,238.984074341,254.059305138,,WY,Wyo.
District of Columbia,222.917072008,260.822327494,,DC,D.C.
