year,state,eligible,not eligible,information not available,postal,ap_abbr
2015,National,209.258765003,236.858798264,236.418943561,US,U.S.
2015,Alabama,208.233431734,231.712211144,,AL,Ala.
2015,Alaska,196.933621712,228.726640169,,AK,Alaska
2015,Arizona,203.081564481,235.897785972,234.402360898,AZ,Ariz.
2015,Arkansas,210.952438606,233.34260568,,AR,Ark.
2015,California,200.661993018,233.079992508,,CA,Calif.
2015,Colorado,208.107359652,237.828972878,,CO,Colo.
2015,Connecticut,208.995501585,240.143236795,,CT,Conn.
2015,Delaware,210.346126871,232.463224509,,DE,Del.
2015,District of Columbia,200.210177594,248.032400963,,DC,D.C.
2015,DoDEA,,,233.759114381,,
2015,Florida,220.102908335,238.710420898,,FL,Fla.
2015,Georgia,213.875191804,238.821952442,218.934512206,GA,Ga.
2015,Hawaii,202.549091245,230.02015698,,HI,Hawaii
2015,Idaho,210.714593749,233.445201627,,ID,Idaho
2015,Illinois,208.443207897,239.28976206,,IL,Ill.
2015,Indiana,217.295997356,237.799270761,,IN,Ind.
2015,Iowa,209.979931193,234.405746658,,IA,Iowa
2015,Kansas,207.739188543,238.028950191,,KS,Kan.
2015,Kentucky,219.140473835,241.458422232,,KY,Ky.
2015,Louisiana,209.307885946,230.808908312,,LA,La.
2015,Maine,213.646213939,234.044850955,,ME,Maine
2015,Maryland,207.047385911,236.814188743,,MD,Md.
2015,Massachusetts,219.659333848,246.736508886,,MA,Mass.
2015,Michigan,203.972975306,227.729230468,,MI,Mich.
2015,Minnesota,204.831671282,236.045370552,,MN,Minn.
2015,Mississippi,207.186761738,233.327183756,,MS,Miss.
2015,Missouri,211.461750354,235.632776507,,MO,Mo.
2015,Montana,212.70768276,235.162441639,,MT,Mont.
2015,Nebraska,212.576127658,239.135017841,,NE,Neb.
2015,Nevada,205.142124277,227.44487152,,NV,Nev.
2015,New Hampshire,216.260034643,238.312335993,,NH,N.H.
2015,New Jersey,212.94945322,240.225936216,250.374864053,NJ,N.J.
2015,New Mexico,201.131080465,225.561980063,,NM,N.M.
2015,New York,210.641852535,237.690525958,,NY,N.Y.
2015,North Carolina,215.345329259,241.999637805,,NC,N.C.
2015,North Dakota,211.667557038,231.153836655,,ND,N.D.
2015,Ohio,211.996207782,237.931247121,,OH,Ohio
2015,Oklahoma,214.201457386,234.017953653,,OK,Okla.
2015,Oregon,210.218291724,236.781265856,,OR,Ore.
2015,Pennsylvania,210.677609687,239.161651656,,PA,Pa.
2015,Rhode Island,211.099448962,238.206076965,,RI,R.I.
2015,South Carolina,206.19083559,237.066866319,,SC,S.C.
2015,South Dakota,204.692190351,231.633121911,,SD,S.D.
2015,Tennessee,207.359003082,235.109850581,,TN,Tenn.
2015,Texas,208.356509362,234.654586058,,TX,Texas
2015,Utah,212.720059161,233.737981346,,UT,Utah
2015,Vermont,217.225330567,239.242280957,,VT,Vt.
2015,Virginia,210.440984448,242.035042163,,VA,Va.
2015,Washington,210.367203696,241.7832047,,WA,Wash.
2015,West Virginia,211.42429664,230.8809151,,WV,W.Va.
2015,Wisconsin,206.75655108,235.582975499,,WI,Wis.
2015,Wyoming,217.374000374,235.088785289,,WY,Wyo.
