state,white,black,hispanic,state/jurisdiction_r,asian/pacific islander,american indian/alaska native,postal,ap_abbr
Nation,274.801875706,249.357147647,255.319337842,,281.798374221,252.586315812,US,U.S.
Alabama,268.110400105,241.15830631,243.224533402,,,,AL,Ala.
Alaska,269.72801899,245.627594641,262.13268049,,254.403622404,233.823811942,AK,Alaska
Arizona,273.965461771,253.996618808,253.700422428,,277.038011475,254.041379611,AZ,Ariz.
Arkansas,266.022428949,241.119789523,254.96959891,,,,AR,Ark.
California,278.11178191,249.955878495,251.243016695,,280.978923613,,CA,Calif.
Colorado,278.743003694,250.437032153,256.969571463,,281.54837865,,CO,Colo.
Connecticut,282.836132919,249.474527127,252.890380625,,288.386025429,,CT,Conn.
Delaware,273.053860238,248.364988661,253.660702074,,289.236604832,,DE,Del.
Florida,274.469724046,253.515152668,262.418021403,,288.888547009,,FL,Fla.
Georgia,276.129888393,254.558463848,259.707708402,,290.662378647,,GA,Ga.
Hawaii,270.925942108,,264.638479198,,257.766545292,,HI,Hawaii
Idaho,273.420458579,,254.668464248,,,,ID,Idaho
Illinois,274.84521676,245.640233181,258.361826959,,292.266742165,,IL,Ill.
Indiana,275.12473359,255.114815468,265.436781623,,278.916816804,,IN,Ind.
Iowa,270.4245328,242.514978427,258.305303836,,268.368223018,,IA,Iowa
Kansas,272.949826021,245.739546023,257.193540971,,283.114684373,,KS,Kan.
Kentucky,267.563467503,246.352208803,261.346404424,,287.663884366,,KY,Ky.
Louisiana,269.481859514,242.270719317,253.354544925,,,,LA,La.
Maine,269.742601704,235.178610598,,,,,ME,Maine
Maryland,280.37449915,251.016100133,254.746194258,,293.026310308,,MD,Md.
Massachusetts,282.851731023,258.010029134,258.628314104,,291.659804568,,MA,Mass.
Michigan,269.530487077,245.350658071,259.057815318,,279.574852144,,MI,Mich.
Minnesota,274.628841964,244.899774586,252.235399565,,265.175567899,,MN,Minn.
Mississippi,271.298370433,241.959305984,252.90678335,,,,MS,Miss.
Missouri,270.128699199,249.657370839,257.435445392,,,,MO,Mo.
Montana,270.451356048,,259.395832437,,,246.486414414,MT,Mont.
Nebraska,275.316071336,245.092643334,254.115738777,,,,NE,Neb.
Nevada,269.783745211,246.010219459,253.296441327,,270.866289289,,NV,Nev.
New Hampshire,275.995550598,,261.056866715,,277.147888802,,NH,N.H.
New Jersey,285.009478485,256.956763412,258.760783819,,297.954405572,,NJ,N.J.
New Mexico,271.416249582,,251.263093841,,,241.791635004,NM,N.M.
New York,271.683442112,251.268991689,252.806517937,,275.977648432,,NY,N.Y.
North Carolina,271.979102356,247.879936606,254.985539679,,281.11860968,,NC,N.C.
North Dakota,268.635112284,251.759609112,259.312056077,,,246.197524715,ND,N.D.
Ohio,274.378098908,243.994853303,259.608889647,,279.480655399,,OH,Ohio
Oklahoma,265.63827253,246.568028496,254.831477336,,,257.527736822,OK,Okla.
Oregon,272.653606432,,249.950010773,,271.962448559,,OR,Ore.
Pennsylvania,275.981335032,249.571674071,244.802668858,,288.247738571,,PA,Pa.
Rhode Island,275.480457646,247.918261046,247.1647321,,268.819224595,,RI,R.I.
South Carolina,271.717424094,240.898981895,255.984934254,,,,SC,S.C.
South Dakota,271.436674033,,255.136457078,,,245.741255679,SD,S.D.
Tennessee,269.012961904,242.986328401,250.919280541,,,,TN,Tenn.
Texas,270.811325773,247.193382396,254.398306063,,286.977401294,,TX,Texas
Utah,273.61009278,,251.510941655,,265.936928212,,UT,Utah
Vermont,274.403313502,,,,,,VT,Vt.
Virginia,274.619548141,250.617117984,259.438001821,,284.013134856,,VA,Va.
Washington,276.240309808,255.173337597,257.648836655,,280.288621975,,WA,Wash.
West Virginia,259.340885964,245.343894294,,,,,WV,W.Va.
Wisconsin,274.89414055,238.647582344,255.207589087,,273.454956697,,WI,Wis.
Wyoming,271.694448768,,260.700030026,,,251.170712039,WY,Wyo.
District of Columbia,299.919091901,239.610398928,241.500303082,,,,DC,D.C.
